,0,1,2,3,4,5,6,7,8,9
148,29,12,0,0,0,1,0,1,0,1
149,26,12,0,1,0,0,1,0,0,1
150,28,12,0,0,0,1,1,0,0,0
151,28,11,0,0,1,0,0,0,1,0
152,29,11,0,0,0,1,1,0,0,1
153,28,12,0,0,0,1,0,0,1,0
154,29,12,0,0,0,1,0,1,0,1
155,27,15,0,1,0,0,1,0,0,0
156,27,14,0,0,1,0,1,0,0,0
157,26,14,0,1,0,0,0,0,1,1
158,28,13,0,0,0,1,0,0,1,0
159,28,14,1,0,0,0,1,0,0,0
160,29,14,0,0,0,1,0,0,1,1
161,27,13,1,0,0,0,0,1,0,0
162,26,13,0,1,0,0,1,0,0,1
163,28,12,0,0,0,1,0,0,1,0
164,29,12,0,0,0,1,0,1,0,1
165,26,12,0,1,0,0,1,0,0,1
166,26,12,0,1,0,0,1,0,0,1
167,26,12,0,1,0,0,1,0,0,1
168,28,12,0,0,0,1,0,0,1,0
169,28,13,1,0,0,0,1,0,0,0
170,29,13,0,0,0,1,0,0,1,1
171,27,17,0,0,1,0,0,1,0,0
172,27,16,0,0,1,0,0,1,0,0
173,26,16,0,1,0,0,0,0,1,1
174,27,14,0,1,0,0,1,0,0,0
175,27,15,1,0,0,0,0,0,1,0
176,26,15,0,1,0,0,1,0,0,1
177,27,15,0,1,0,0,1,0,0,0
178,27,14,0,0,1,0,1,0,0,0
179,26,14,0,1,0,0,0,0,1,1
180,26,12,0,1,0,0,1,0,0,1
181,27,13,0,1,0,0,1,0,0,0
182,27,14,1,0,0,0,0,0,1,0
183,26,14,0,1,0,0,1,0,0,1
184,26,12,0,1,0,0,1,0,0,1
185,28,12,0,0,0,1,0,0,1,0
186,29,12,0,0,0,1,0,1,0,1
187,26,12,0,1,0,0,1,0,0,1
188,26,12,0,1,0,0,1,0,0,1
189,26,12,0,1,0,0,1,0,0,1
190,28,16,1,0,0,0,0,1,0,0
191,27,16,0,1,0,0,1,0,0,0
192,26,16,0,1,0,0,0,1,0,1
193,26,12,0,1,0,0,1,0,0,1
194,27,13,1,0,0,0,0,1,0,0
195,26,13,0,1,0,0,1,0,0,1
196,28,12,0,0,0,1,0,0,1,0
197,29,12,0,0,0,1,0,1,0,1
198,26,12,0,1,0,0,1,0,0,1
199,27,13,1,0,0,0,0,1,0,0
200,28,13,0,0,0,1,0,0,1,0
201,29,13,0,0,0,1,0,1,0,1
202,28,12,0,0,0,1,0,0,1,0
203,29,12,0,0,0,1,0,1,0,1
204,28,13,0,0,0,1,0,0,1,0
205,28,14,1,0,0,0,1,0,0,0
206,29,14,0,0,0,1,0,0,1,1
207,28,12,0,0,0,1,0,0,1,0
208,29,12,0,0,0,1,0,1,0,1
209,28,13,0,0,0,1,0,0,1,0
210,28,14,1,0,0,0,1,0,0,0
211,29,14,0,0,0,1,0,0,1,1
212,26,12,0,1,0,0,1,0,0,1
213,28,17,1,0,0,0,0,1,0,0
214,28,18,1,0,0,0,0,1,0,0
215,29,18,0,0,0,1,0,0,1,1
216,26,12,0,1,0,0,1,0,0,1
217,28,17,1,0,0,0,0,1,0,0
218,28,18,1,0,0,0,0,1,0,0
219,29,18,0,0,0,1,0,0,1,1
220,28,12,0,0,0,1,0,0,1,0
221,28,13,1,0,0,0,1,0,0,0
222,29,13,0,0,0,1,0,0,1,1
223,28,11,0,0,1,0,0,0,1,0
224,28,10,0,0,1,0,0,1,0,0
225,29,10,0,0,0,1,1,0,0,1
226,28,12,0,0,0,1,0,0,1,0
227,28,13,1,0,0,0,1,0,0,0
228,29,13,0,0,0,1,0,0,1,1
229,28,16,1,0,0,0,0,1,0,0
230,27,16,0,1,0,0,1,0,0,0
231,26,16,0,1,0,0,0,1,0,1
232,28,12,0,0,0,1,0,0,1,0
233,28,13,1,0,0,0,1,0,0,0
234,29,13,0,0,0,1,0,0,1,1
235,28,7,0,0,0,1,1,0,0,0
236,28,6,0,0,1,0,0,0,1,0
237,29,6,0,0,0,1,1,0,0,1
238,27,11,0,1,0,0,0,0,1,0
239,27,10,0,0,1,0,1,0,0,0
240,26,10,0,1,0,0,0,0,1,1
241,27,14,0,1,0,0,1,0,0,0
242,27,13,0,0,1,0,1,0,0,0
243,26,13,0,1,0,0,0,0,1,1
244,28,8,1,0,0,0,0,1,0,0
245,27,8,0,1,0,0,1,0,0,0
246,26,8,0,1,0,0,0,1,0,1
247,28,11,0,0,1,0,0,0,1,0
248,28,10,0,0,1,0,0,1,0,0
249,29,10,0,0,0,1,1,0,0,1
250,28,12,0,0,0,1,0,0,1,0
251,28,13,1,0,0,0,1,0,0,0
252,29,13,0,0,0,1,0,0,1,1
253,27,14,1,0,0,0,0,0,1,0
254,27,15,1,0,0,0,0,1,0,0
